timestamp,datetime,open,high,low,close,volume,volume_ccy
1640995200000,2022-01-01 00:00:00,46214,46950,46214,46798.1,736269,7362.69
1641009600000,2022-01-01 04:00:00,46798,47578.5,46614.6,47212.3,1102544,11025.44
1641024000000,2022-01-01 08:00:00,47208.3,47347,46710.4,46764.2,842955,8429.55
1641038400000,2022-01-01 12:00:00,46764.1,47494.3,46764.1,47211.7,790191,7901.91
1641052800000,2022-01-01 16:00:00,47211.7,47947,47174.4,47332.6,950396,9503.96
1641067200000,2022-01-01 20:00:00,47332.5,47829,47212.7,47723.2,507786,5077.86
1641081600000,2022-01-02 00:00:00,47723.2,47756.8,47280.2,47342.8,566592,5665.92
1641096000000,2022-01-02 04:00:00,47342.8,47433.1,46777,47178.7,985243,9852.43
1641110400000,2022-01-02 08:00:00,47178.7,47520,46977.2,47239,619685,6196.85
1641124800000,2022-01-02 12:00:00,47238.9,47472,47000,47343.1,749976,7499.76
1641139200000,2022-01-02 16:00:00,47344.2,48003.6,46651,46917.1,1722857,17228.57
1641153600000,2022-01-02 20:00:00,46914,47484.8,46830,47301.1,488817,4888.17
1641168000000,2022-01-03 00:00:00,47301.8,47301.8,46730,46810,742509,7425.09
1641182400000,2022-01-03 04:00:00,46810,47235.4,46765.6,47052,608956,6089.56
1641196800000,2022-01-03 08:00:00,47052,47432.9,46783,47362.9,1019204,10192.04
1641211200000,2022-01-03 12:00:00,47363,47570,46568.9,46697.3,1528485,15284.85
1641225600000,2022-01-03 16:00:00,46697.3,46803.7,46261,46375,1181618,11816.18
1641240000000,2022-01-03 20:00:00,46373.4,46578.6,45681,46446.9,1192711,11927.11
1641254400000,2022-01-04 00:00:00,46446.9,46549.8,45950,46325.8,935295,9352.95
1641268800000,2022-01-04 04:00:00,46322.7,46571.1,46016.2,46543.4,918252,9182.52
1641283200000,2022-01-04 08:00:00,46543.5,46765.3,46289.2,46722.1,1078785,10787.85
1641297600000,2022-01-04 12:00:00,46722.2,47521,46400,46932.8,1833289,18332.89
1641312000000,2022-01-04 16:00:00,46932.9,46988,45510,46067.1,2345742,23457.42
1641326400000,2022-01-04 20:00:00,46067,46439.9,45760.6,45843.3,721092,7210.92
1641340800000,2022-01-05 00:00:00,45843.3,46567.9,45725.5,46416.6,898358,8983.58
1641355200000,2022-01-05 04:00:00,46416.7,46519.5,46242.4,46405.1,509015,5090.15
1641369600000,2022-01-05 08:00:00,46408,47088.9,46113,46277.1,1580669,15806.69
1641384000000,2022-01-05 12:00:00,46277,46850,45895.7,46621.3,2409407,24094.07
1641398400000,2022-01-05 16:00:00,46621.8,46673.8,44200,44675.3,3391272,33912.72
