timestamp,datetime,open,high,low,close,volume,volume_ccy
1704067200000,2024-01-01 00:00:00,101.74,104.73,101.55,103.07,167039.250322,17236198.50701067
1704081600000,2024-01-01 04:00:00,103.07,103.96,101.45,102.52,108186.632191,11071332.36215614
1704096000000,2024-01-01 08:00:00,102.48,104.89,101.78,104.36,150871.191378,15640226.04233238
1704110400000,2024-01-01 12:00:00,104.37,106.38,103.88,105.99,194924.945642,20480088.47043145
1704124800000,2024-01-01 16:00:00,105.99,109.1,105.83,108.79,250282.162784,26948564.66083301
1704139200000,2024-01-01 20:00:00,108.8,109.96,107.13,109.93,144417.735244,15673289.54163016
1704153600000,2024-01-02 00:00:00,109.93,113.18,108.49,111.41,271840.929483,30146719.63308609
1704168000000,2024-01-02 04:00:00,111.42,114.69,110.88,114.47,220919.336494,24936076.16504347
1704182400000,2024-01-02 08:00:00,114.47,116.9,112.39,113.89,377093.592382,43327233.94881296
1704196800000,2024-01-02 12:00:00,113.88,114.4,107.68,109.65,467233.998668,52090600.09701312
1704211200000,2024-01-02 16:00:00,109.67,110.49,106.53,107.66,218960.040221,23776890.5009479
1704225600000,2024-01-02 20:00:00,107.69,108.89,106.02,106.72,203085.646936,21847417.30122364
1704240000000,2024-01-03 00:00:00,106.73,108.72,106.5,108.1,158418.868464,17052848.27318757
1704254400000,2024-01-03 04:00:00,108.1,109.91,107.1,107.76,144279.684943,15670340.40088644
1704268800000,2024-01-03 08:00:00,107.8,109.84,102.21,103.41,322798.345481,34229392.0260632
1704283200000,2024-01-03 12:00:00,103.47,103.47,81,102.09,2301863.14327,219952731.3956599
1704297600000,2024-01-03 16:00:00,102.09,103.22,94.95,97.39,567341.799795,56149053.50799122
1704312000000,2024-01-03 20:00:00,97.38,100.52,97.24,98.55,193690.258847,19170677.882591
1704326400000,2024-01-04 00:00:00,98.54,101.99,97.58,101.08,233502.673881,23312741.54572229
1704340800000,2024-01-04 04:00:00,101.1,101.73,98.78,98.88,168551.700202,16921231.52400156
1704355200000,2024-01-04 08:00:00,98.93,99.28,96.61,98.5,256902.869681,25218851.00320845
1704369600000,2024-01-04 12:00:00,98.53,104.39,98.13,103.68,263634.039875,26723766.96701168
1704384000000,2024-01-04 16:00:00,103.67,106.87,101.52,105.18,263928.822752,27359375.66976205
1704398400000,2024-01-04 20:00:00,105.19,108.19,104.39,104.9,213783.107322,22730997.92203589
1704412800000,2024-01-05 00:00:00,104.91,105.47,98.35,100.97,426837.683914,43460310.16656935
1704427200000,2024-01-05 04:00:00,100.95,102.2,100.01,101.11,175441.732969,17728927.78961571
1704441600000,2024-01-05 08:00:00,101.15,103.16,99.08,99.63,202356.086695,20453959.34178646
1704456000000,2024-01-05 12:00:00,99.62,101.39,96.84,98.05,440587.134679,43531144.95318233
1704470400000,2024-01-05 16:00:00,98.02,98.87,95.2,97.93,350829.31765,34163146.87927031
1704484800000,2024-01-05 20:00:00,97.93,100.5,97.84,99.93,241154.279552,23947867.14417603
1704499200000,2024-01-06 00:00:00,99.93,100.35,97.77,98.65,212782.612819,21051260.16780683
1704513600000,2024-01-06 04:00:00,98.66,98.93,91.55,94.48,391559.06438,36828616.64810007
1704528000000,2024-01-06 08:00:00,94.47,95.69,93.69,94.45,143807.297677,13626048.68734073
1704542400000,2024-01-06 12:00:00,94.47,96.44,92.85,95.18,140565.301604,13348256.97927966
1704556800000,2024-01-06 16:00:00,95.19,97.23,94.51,95.06,139102.170522,13334717.64680546
1704571200000,2024-01-06 20:00:00,95.06,95.64,92.18,93.82,166132.57074,15546423.39540032
1704585600000,2024-01-07 00:00:00,93.79,96.3,91.33,92.91,178056.083334,16728420.71870927
1704600000000,2024-01-07 04:00:00,92.9,95.6,92.83,95.23,199574.350924,18824323.67197333
1704614400000,2024-01-07 08:00:00,95.24,95.6,92.92,94.55,99588.668219,9373404.30848527
1704628800000,2024-01-07 12:00:00,94.57,96.72,93.29,93.94,185773.775917,17741829.39248729
1704643200000,2024-01-07 16:00:00,93.94,94.98,93,94.74,98464.488549,9270128.92351486
1704657600000,2024-01-07 20:00:00,94.76,95.31,87.55,89.43,286917.423301,25971927.90511747
1704672000000,2024-01-08 00:00:00,89.46,90.86,85.15,87.24,453968.387887,40052307.46504109
1704686400000,2024-01-08 04:00:00,87.26,90.75,86.88,89.68,324162.214743,29028008.63147902
1704700800000,2024-01-08 08:00:00,89.69,92.23,88.66,92.23,177904.619835,16101987.59920912
1704715200000,2024-01-08 12:00:00,92.23,95.74,92.21,94.65,493984.660395,46444857.65798207
1704729600000,2024-01-08 16:00:00,94.72,99.95,93.72,99.24,365067.080479,35582532.29534713
1704744000000,2024-01-08 20:00:00,99.28,99.44,96.45,97.93,187252.061168,18254074.9415167
1704758400000,2024-01-09 00:00:00,97.89,99.9,95.23,99.8,258521.295144,25321220.55240016
