timestamp,datetime,open,high,low,close,volume,volume_ccy
1640995200000,2022-01-01 00:00:00,3678.08,3747.5,3678.07,3722.35,1171711,117171.1
1641009600000,2022-01-01 04:00:00,3722.34,3766,3701,3715.96,1712725,171272.5
1641024000000,2022-01-01 08:00:00,3715.75,3734.71,3670.04,3694.44,1359014,135901.4
1641038400000,2022-01-01 12:00:00,3694.44,3746.68,3692.25,3725.25,1194002,119400.2
1641052800000,2022-01-01 16:00:00,3725.24,3764.33,3717.08,3746.08,1389098,138909.8
1641067200000,2022-01-01 20:00:00,3745.87,3776,3739,3763.87,934708,93470.8
1641081600000,2022-01-02 00:00:00,3763.87,3771,3742.45,3758.9,753749,75374.9
1641096000000,2022-01-02 04:00:00,3758.89,3761.96,3717.72,3747.69,1029899,102989.9
1641110400000,2022-01-02 08:00:00,3747.56,3775,3732.82,3744,882998,88299.8
1641124800000,2022-01-02 12:00:00,3744.01,3792.27,3730.11,3776.87,1314444,131444.4
1641139200000,2022-01-02 16:00:00,3776.82,3860,3772.85,3797.65,3012484,301248.4
1641153600000,2022-01-02 20:00:00,3797.54,3840,3792.72,3827.41,701037,70103.7
1641168000000,2022-01-03 00:00:00,3827.26,3827.67,3775.63,3785.79,1100407,110040.7
1641182400000,2022-01-03 04:00:00,3785.79,3823,3782.01,3808.54,906726,90672.6
1641196800000,2022-01-03 08:00:00,3808.54,3844,3790,3833.84,1416204,141620.4
1641211200000,2022-01-03 12:00:00,3833.85,3853,3777,3784.65,2066953,206695.3
1641225600000,2022-01-03 16:00:00,3784.64,3795,3735.51,3738.26,1867123,186712.3
1641240000000,2022-01-03 20:00:00,3738.27,3779.48,3681.47,3765.49,1758858,175885.8
1641254400000,2022-01-04 00:00:00,3765.48,3773.66,3712.3,3743.11,1228667,122866.7
1641268800000,2022-01-04 04:00:00,3743.02,3763.32,3727,3761.84,1065042,106504.2
1641283200000,2022-01-04 08:00:00,3761.85,3840.8,3756,3835.63,2338558,233855.8
1641297600000,2022-01-04 12:00:00,3835.64,3895,3814.45,3850.8,2619785,261978.5
1641312000000,2022-01-04 16:00:00,3850.79,3865,3759.09,3813.49,3154276,315427.6
1641326400000,2022-01-04 20:00:00,3813.49,3833,3784.14,3787.09,925705,92570.5
1641340800000,2022-01-05 00:00:00,3786.83,3827.75,3765.97,3808.69,1013332,101333.2
1641355200000,2022-01-05 04:00:00,3808.69,3823.42,3796.17,3816.65,658373,65837.3
1641369600000,2022-01-05 08:00:00,3816.65,3848.08,3780.98,3792.31,1552798,155279.8
1641384000000,2022-01-05 12:00:00,3792.33,3834.39,3765.14,3819.84,2322230,232223
1641398400000,2022-01-05 16:00:00,3819.84,3822.8,3636.2,3654.75,3449245,344924.5
1641412800000,2022-01-05 20:00:00,3654.76,3665.24,3406.46,3538.66,4659003,465900.3
1641427200000,2022-01-06 00:00:00,3538.66,3551,3446.69,3449,2354084,235408.4
1641441600000,2022-01-06 04:00:00,3449,3479,3407.14,3452.7,3186551,318655.1
1641456000000,2022-01-06 08:00:00,3452.71,3455.36,3295,3348.99,4471063,447106.3
1641470400000,2022-01-06 12:00:00,3348.99,3424,3315.97,3395.07,3427490,342749
1641484800000,2022-01-06 16:00:00,3395.28,3460.28,3383.25,3445.68,1947265,194726.5
1641499200000,2022-01-06 20:00:00,3445.68,3457.99,3406,3406.51,759269,75926.9
1641513600000,2022-01-07 00:00:00,3406.58,3417.12,3225.15,3239.49,3538380,353838
1641528000000,2022-01-07 04:00:00,3239.6,3255.24,3112.1,3204.24,6812338,681233.8
1641542400000,2022-01-07 08:00:00,3203.92,3294.38,3188,3225.98,3376096,337609.6
1641556800000,2022-01-07 12:00:00,3226.23,3270.16,3045.58,3131.46,5724463,572446.3
1641571200000,2022-01-07 16:00:00,3131.41,3223.21,3089,3197.2,3158088,315808.8
1641585600000,2022-01-07 20:00:00,3197.4,3224.41,3164.51,3198.45,981127,98112.7
1641600000000,2022-01-08 00:00:00,3198.48,3247.47,3180,3203.58,1903831,190383.1
